UserId,NofCheckins
11129216,65
10935013,2
10729403,1
10828888,7
11709169,177
11430066,36
11614190,6
11137967,2
11754536,5
10697032,6
11741801,2
11747374,1
11354723,1
11401679,4
11536191,4
10854358,1
11512049,3
11585803,2
11221539,5
10769197,8
10767869,4
11123643,1
11386027,1
10981969,1
11492413,1
11360557,10
10701277,6
10736565,2
11265578,2
11297949,16
11788757,12
10899725,3
11465354,4
11611534,10
11156275,2
11292376,23
11265317,1
11629842,5
11022830,4
11444129,13
11835452,6
11236930,29
11799903,13
11162109,5
10685625,22
11218622,1
11164765,6
11451291,13
11095256,20
11162086,13
10760684,1
11171689,18
10747995,1
11054157,10
11191847,3
11485228,3
11629865,1
11748940,25
11222844,2
11617084,2
11795896,2
11438272,2
11207192,2
10931006,4
11740235,3
11418636,3
11219973,2
10726509,1
10872904,3
11787191,9
11643882,1
11583124,7
10654298,2
11368809,2
11442563,14
10997383,4
11709146,7
11099478,3
11381805,2
11638355,12
11434288,1
11795681,20
11263966,1
11285452,1
11367696,1
10981946,1
10714035,6
11221516,18
10865742,5
11282581,3
10685387,3
11153596,2
11291071,21
11366153,50
11574419,2
11651044,6
11422927,17
11686639,23
11063975,1
11764377,7
11663825,18
10699926,6
11326359,2
11788734,7
11069809,8
10844256,5
11129454,7
11813989,13
10949099,6
11269585,7
11028710,1
11013227,9
11149328,37
10685410,10
11030207,8
11125017,1
11178874,10
11744672,5
11635461,2
11611488,1
11624054,1
10850067,1
11713368,2
11723278,4
11725036,5
11426934,6
11707795,63
11276770,1
11618481,1
11561876,4
11135004,1
11084064,1
10839988,1
11193367,3
10964943,1
10670188,21
10661529,1
11456649,3
10699903,1
11129431,3
11370421,3
10899679,2
11149067,1
11455321,1
11308074,3
10654536,17
10832918,3
11770403,1
10790376,9
11749009,1
11821343,12
10954864,8
10766495,3
11821174,49
10781978,1
11654030,4
11279426,2
11031535,1
11041445,5
11127934,8
11409954,6
11242979,13
10703887,1
11608571,37
11234228,54
11208589,45
11688159,2
10937884,2
11300820,37
11076994,6
11555873,86
11478304,107
11461324,1
11651113,10
11162063,1
11048369,11
10832941,11
11132371,5
11137990,2
10694138,11
10786415,3
11038459,1
11563227,4
11111100,2
11120703,1
11588789,1
11822525,5
11722096,2
11020151,4
11621114,3
11774364,6
10745078,2
10753783,2
10750697,2
11011753,2
11431371,2
11194549,1
10685433,8
11577551,40
11295101,3
11510529,3
11675140,60
10682900,2
10871315,1
10667248,20
11000515,1
11428285,3
11494877,11
11723424,5
11154970,6
11712063,14
11378796,1
11611511,21
11478327,9
11438318,20
11282535,10
10848716,11
11560141,2
11492221,3
11258608,1
11208996,6
11263797,73
10689847,26
11097981,1
11644143,2
10695466,4
10969211,5
11061488,1
11292445,42
11109342,3
11521890,22
10993138,21
10925218,2
11014509,21
11075528,3
10844371,8
10970393,39
10708009,11
11641157,31
11754628,102
11505317,2
11824137,5
11428646,2
10956330,2
10978883,2
11575893,31
11021671,2
11816714,8
11003025,3
11604203,2
11530449,1
10738062,1
11628345,94
10865596,1
11598369,12
11538939,2
11332001,6
11154855,1
11493910,1
11354554,3
11315359,9
11661054,25
11252674,5
11561492,7
11770357,5
11069617,4
11136209,4
11373200,2
10835881,30
10813144,28
11237360,1
11167590,2
11459612,84
11309525,18
11273976,39
10921119,6
11519042,1
11757622,26
10959009,5
11078084,3
10692672,2
11176318,4
11102226,2
11062739,1
11421169,3
11680928,1
11319320,5
10899579,1
11111054,1
11770119,1
10667171,1
10887136,1
11218768,10
11495261,2
10872474,1
10748118,1
10755280,1
10733763,4
11669782,5
11315336,5
11734708,6
11232877,1
10845799,1
11066938,11
11641134,7
11152176,1
11558859,1
11644312,1
10725304,4
10912391,2
10981854,43
11418513,18
10967837,1
11695037,13
11231549,3
11044462,35
11353249,4
11451176,19
10933877,6
11197251,1
11195923,1
11119444,10
11065587,14
10903755,5
10739267,5
10692741,14
10933808,3
10881033,2
11011807,2
11836657,2
11738761,1
11821512,1
11503943,1
10682662,1
11109703,4
10855732,2
10867216,1
11603167,2
10991741,1
11757499,4
10705783,64
10736826,18
10914049,8
10708439,8
10961005,7
11033431,11
11478350,2
11544942,2
11828551,1
11752141,1
11647344,3
11761959,3
11672553,1
11635937,2
11651589,1
11661407,4
11457125,18
10786699,1
10717190,1
10780865,1
11392122,1
11630364,13
11671486,3
11540958,2
10929962,3
11556610,3
11562183,6
11746568,2
11111169,1
11733833,6
11129738,4
11441473,3
10929701,1
10677396,3
11545203,13
11325269,16
10724352,1
11437489,2
11399023,1
11221800,1
10810841,1
11428738,1
11756386,1
11295554,10
11180678,2
11013273,4
11616040,4
10901314,13
10789355,2
11194741,12
11509654,6
11370636,2
11588981,8
11352328,11
11742062,3
11107185,5
10719846,1
10897069,5
10919883,2
10668906,1
11274329,1
11498508,1
11479939,1
11280163,27
11095517,16
11427410,3
11596143,125
11017779,66
11457386,14
11474105,9
10894390,213
10712922,58
10907171,12
11139579,2
11170883,23
11182029,55
11767555,2
11440122,1
11824329,1
11528200,1
11577812,1
11365040,1
11757737,6
10793623,1
11006395,1
11486863,1
11430304,1
10700233,1
11469883,2
11359513,6
11169248,11
11511005,1
11028902,5
11250164,4
11479701,1
11699850,7
11082805,1
11521038,6
11458737,2
11729304,7
11243002,1
11167920,4
10728359,1
10796494,3
11002104,1
11190734,1
11281253,34
11072987,1
11410453,1
11576484,2
11420271,5
11319719,2
11428761,1
11149612,2
10807947,2
11346732,1
11787713,3
11112781,16
10752716,6
11315428,2
11566451,5
11146741,4
11312557,39
11467227,15
10744011,6
10753829,34
11027574,32
11489734,2
11399000,8
10729879,11
11154993,8
11156751,42
10841669,36
10789401,2
10931244,20
11519518,1
11661453,1
11734946,1
11488644,3
11778985,2
11667026,1
11501379,1
11155423,1
11406139,2
10705829,1
11834170,5
11657116,4
11686831,1
11326812,4
11562229,1
10712899,1
11576200,1
11201949,1
11569299,2
11386334,4
11269869,1
11400397,1
11403314,3
11485727,3
11679761,2
11793309,24
10890214,6
10800716,1
11503866,5
11058686,1
11664109,20
11288607,38
11308243,13
11458668,5
11712393,19
10755441,7
11487055,29
11142404,227
10728528,15
11040401,3
10942628,2
11006441,7
10847695,28
11642815,1
11818541,1
11703665,1
11753707,8
11104030,4
11471257,1
11584928,2
11682824,4
11428715,2
10779468,1
11699681,1
10894221,4
11387685,1
11701132,4
11067414,2
11837279,5
10772398,6
10802067,1
11492651,3
10843281,1
11473015,2
11080103,10
11372156,12
11740711,14
11331126,8
11380738,1
11167966,1
11532230,1
10989584,6
11487032,9
11420440,3
11304236,6
11580514,16
11179327,1
11126629,2
10796448,4
10945161,3
11634417,3
11413370,21
11648864,20
11054418,16
11454277,3
10871622,6
10849023,3
10836480,3
10709859,4
11059070,3
11828720,47
11577666,16
10842053,3
11479847,1
11710850,1
11304213,2
10820567,4
11299968,1
10722594,2
11662827,41
11536621,1
11754889,1
11500995,2
11301219,2
11338173,3
10908645,2
11465707,1
11586156,16
11369477,2
10742568,3
11329345,6
11062977,1
10742491,3
11433152,4
11807418,1
11776114,2
10678893,1
11832965,1
10917058,9
11381874,15
11575087,39
10943933,2
11610375,14
11580322,2
10728428,2
11397864,96
11751972,2
11718350,13
11238949,2
10938360,3
11200744,3
11138397,2
10976542,1
10863301,1
10742468,6
10666058,60
10997813,3
10831874,10
11621682,1
11620477,3
11325338,2
11699758,3
11765022,1
11579017,8
11754866,2
11596212,2
11819915,1
11459973,3
10894267,4
11586179,1
10767938,3
11513753,3
11173662,9
11237383,4
10729779,3
11459850,1
10823169,2
10677327,1
11656970,93
10862963,1
11291378,4
10775438,4
11401748,1
11240254,11
11435708,8
11334166,1
11136708,4
11267236,1
11356427,2
11445864,32
11526442,3
11719363,2
11179496,17
11381897,1
10707303,2
11038935,6
11784965,26
11742177,12
11798982,38
11095371,4
11530948,3
10909927,2
11435854,48
11699735,66
11699489,3
10709905,3
11038958,1
11695751,1
11678341,1
11028802,1
11664201,4
11600342,1
11379341,1
11555067,1
10980948,8
10676191,1
11170814,1
11798790,22
11532422,1
11665529,1
10919837,1
11169655,5
11468486,22
11618834,2
11762174,2
11034114,8
11431010,6
11726026,17
11251300,1
10922324,3
10784465,2
11231234,1
11276678,9
11437351,19
11045521,4
11010310,2
11080809,1
11417285,3
11394640,7
11343439,18
11373415,7
11167298,1
11277929,15
10845991,2
11190189,4
11558882,5
11197443,3
11689656,21
11074246,9
11031627,4
11635630,24
11461155,3
11461232,5
10705138,3
10914993,2
11165970,105
10803203,2
11690738,3
11636881,6
11343193,8
10976250,61
10766687,56
10869649,8
10935159,89
10899625,31
11154878,5
11574250,1
11517691,1
11821535,3
11001505,11
11089491,1
11793969,4
11295316,1
10660086,1
10912560,1
11483731,3
11341965,2
11187387,2
11726172,1
10671201,1
11691007,4
10999095,2
11262807,2
11220142,3
10681357,2
11427172,6
11519142,4
10965012,1
10680152,12
11111008,2
11272840,2
11285406,2
11463665,10
11406024,28
11068097,8
11629481,4
11286611,44
11408680,14
10934913,4
11305472,5
11096868,3
11207576,1
11242741,32
10746498,12
10747949,5
11024350,5
10967791,16
10769220,15
10855755,13
11178682,12
11033055,8
10755211,96
10966394,16
10708101,7
11171589,24
11024496,64
10915454,2
11818134,1
11496735,1
11628591,3
11035903,8
10942252,1
11719325,14
10658228,4
11086689,2
11476423,2
11614113,8
10801752,3
11235525,1
11490486,2
11666642,1
11262323,1
10689947,4
10831882,3
10875660,1
